Seed,Theta,Inf,Alpha
2076,0.0,1.06862e+01,1.00163e+02
2076,0.5,1.06858e+01,9.96707e+01
2076,1.0,1.06855e+01,9.91833e+01
2077,0.0,1.03809e+01,1.01679e+02
2077,0.5,1.03806e+01,1.01170e+02
2077,1.0,1.03802e+01,1.00666e+02
2078,0.0,1.06004e+01,9.94005e+01
2078,0.5,1.06012e+01,9.88995e+01
2078,1.0,1.06021e+01,9.84035e+01
2079,0.0,1.08256e+01,9.70168e+01
2079,0.5,1.08272e+01,9.65214e+01
2079,1.0,1.08288e+01,9.60310e+01
2080,0.0,1.07036e+01,9.82642e+01
2080,0.5,1.07039e+01,9.77738e+01
2080,1.0,1.07041e+01,9.72884e+01
2081,0.0,1.05842e+01,9.98447e+01
2081,0.5,1.05843e+01,9.93477e+01
2081,1.0,1.05844e+01,9.88557e+01
2082,0.0,1.04357e+01,1.01506e+02
2082,0.5,1.04353e+01,1.01007e+02
2082,1.0,1.04348e+01,1.00513e+02
2083,0.0,1.06267e+01,9.95974e+01
2083,0.5,1.06270e+01,9.90986e+01
2083,1.0,1.06274e+01,9.86049e+01
2084,0.0,1.04642e+01,9.96357e+01
2084,0.5,1.04650e+01,9.91304e+01
2084,1.0,1.04658e+01,9.86302e+01
2085,0.0,1.08885e+01,9.71301e+01
2085,0.5,1.08904e+01,9.66326e+01
2085,1.0,1.08923e+01,9.61402e+01
2086,0.0,1.04981e+01,1.01422e+02
2086,0.5,1.04979e+01,1.00918e+02
2086,1.0,1.04976e+01,1.00419e+02
2087,0.0,1.06565e+01,9.92070e+01
2087,0.5,1.06573e+01,9.87044e+01
2087,1.0,1.06581e+01,9.82067e+01
2088,0.0,1.01894e+01,1.02971e+02
2088,0.5,1.01889e+01,1.02460e+02
2088,1.0,1.01884e+01,1.01954e+02
2089,0.0,1.05153e+01,1.00888e+02
2089,0.5,1.05149e+01,1.00389e+02
2089,1.0,1.05145e+01,9.98952e+01
2090,0.0,1.03322e+01,1.01107e+02
2090,0.5,1.03324e+01,1.00596e+02
2090,1.0,1.03326e+01,1.00090e+02
2091,0.0,1.05483e+01,1.00374e+02
2091,0.5,1.05482e+01,9.98751e+01
2091,1.0,1.05482e+01,9.93808e+01
2092,0.0,1.04217e+01,1.00968e+02
2092,0.5,1.04220e+01,1.00459e+02
2092,1.0,1.04224e+01,9.99557e+01
2093,0.0,1.05240e+01,9.99073e+01
2093,0.5,1.05244e+01,9.94022e+01
2093,1.0,1.05248e+01,9.89022e+01
2094,0.0,1.04980e+01,1.00417e+02
2094,0.5,1.04980e+01,9.99164e+01
2094,1.0,1.04979e+01,9.94213e+01
2095,0.0,1.06035e+01,9.85393e+01
2095,0.5,1.06039e+01,9.80414e+01
2095,1.0,1.06043e+01,9.75484e+01
2096,0.0,1.07288e+01,9.91154e+01
2096,0.5,1.07291e+01,9.86216e+01
2096,1.0,1.07294e+01,9.81327e+01
2097,0.0,1.02969e+01,1.02245e+02
2097,0.5,1.02973e+01,1.01726e+02
2097,1.0,1.02977e+01,1.01213e+02
2098,0.0,1.05451e+01,1.01384e+02
2098,0.5,1.05454e+01,1.00872e+02
2098,1.0,1.05458e+01,1.00366e+02
2099,0.0,1.04070e+01,1.01920e+02
2099,0.5,1.04067e+01,1.01411e+02
2099,1.0,1.04064e+01,1.00908e+02
2100,0.0,1.05961e+01,9.96330e+01
2100,0.5,1.05966e+01,9.91312e+01
2100,1.0,1.05971e+01,9.86345e+01
2101,0.0,1.04375e+01,1.02715e+02
2101,0.5,1.04364e+01,1.02213e+02
2101,1.0,1.04352e+01,1.01715e+02
2102,0.0,1.05444e+01,1.00249e+02
2102,0.5,1.05442e+01,9.97511e+01
2102,1.0,1.05441e+01,9.92583e+01
2103,0.0,1.05146e+01,1.00734e+02
2103,0.5,1.05146e+01,1.00230e+02
2103,1.0,1.05146e+01,9.97310e+01
2104,0.0,1.04143e+01,1.00918e+02
2104,0.5,1.04137e+01,1.00421e+02
2104,1.0,1.04131e+01,9.99279e+01
2105,0.0,1.06901e+01,9.79308e+01
2105,0.5,1.06909e+01,9.74358e+01
2105,1.0,1.06917e+01,9.69458e+01
2106,0.0,1.05320e+01,9.90796e+01
2106,0.5,1.05328e+01,9.85727e+01
2106,1.0,1.05336e+01,9.80708e+01
2107,0.0,1.06873e+01,9.88144e+01
2107,0.5,1.06877e+01,9.83197e+01
2107,1.0,1.06881e+01,9.78298e+01
2108,0.0,1.04520e+01,1.01655e+02
2108,0.5,1.04522e+01,1.01145e+02
2108,1.0,1.04524e+01,1.00641e+02
2109,0.0,1.04573e+01,1.01653e+02
2109,0.5,1.04570e+01,1.01145e+02
2109,1.0,1.04568e+01,1.00642e+02
2110,0.0,1.04960e+01,9.98707e+01
2110,0.5,1.04962e+01,9.93694e+01
2110,1.0,1.04964e+01,9.88730e+01
2111,0.0,1.08706e+01,9.73315e+01
2111,0.5,1.08713e+01,9.68424e+01
2111,1.0,1.08721e+01,9.63582e+01
2112,0.0,1.04863e+01,1.01503e+02
2112,0.5,1.04862e+01,1.00994e+02
2112,1.0,1.04861e+01,1.00489e+02
2113,0.0,1.03372e+01,1.01465e+02
2113,0.5,1.03368e+01,1.00957e+02
2113,1.0,1.03365e+01,1.00454e+02
2114,0.0,1.04229e+01,1.02036e+02
2114,0.5,1.04218e+01,1.01538e+02
2114,1.0,1.04208e+01,1.01045e+02
2115,0.0,1.02994e+01,1.02499e+02
2115,0.5,1.02985e+01,1.01994e+02
2115,1.0,1.02976e+01,1.01493e+02
2116,0.0,1.03429e+01,1.02868e+02
2116,0.5,1.03422e+01,1.02360e+02
2116,1.0,1.03415e+01,1.01857e+02
2117,0.0,1.04929e+01,9.95915e+01
2117,0.5,1.04934e+01,9.90858e+01
2117,1.0,1.04939e+01,9.85851e+01
2118,0.0,1.06512e+01,9.94004e+01
2118,0.5,1.06513e+01,9.89022e+01
2118,1.0,1.06515e+01,9.84089e+01
2119,0.0,1.03117e+01,1.01323e+02
2119,0.5,1.03116e+01,1.00814e+02
2119,1.0,1.03115e+01,1.00311e+02
2120,0.0,1.05349e+01,9.90782e+01
2120,0.5,1.05349e+01,9.85812e+01
2120,1.0,1.05350e+01,9.80892e+01
2121,0.0,1.03006e+01,1.01686e+02
2121,0.5,1.03005e+01,1.01179e+02
2121,1.0,1.03003e+01,1.00676e+02
2122,0.0,1.07795e+01,9.88916e+01
2122,0.5,1.07799e+01,9.84004e+01
2122,1.0,1.07803e+01,9.79141e+01
2123,0.0,1.06304e+01,9.89299e+01
2123,0.5,1.06306e+01,9.84333e+01
2123,1.0,1.06308e+01,9.79417e+01
2124,0.0,1.06080e+01,9.86409e+01
2124,0.5,1.06086e+01,9.81415e+01
2124,1.0,1.06092e+01,9.76469e+01
2125,0.0,1.02746e+01,1.03052e+02
2125,0.5,1.02741e+01,1.02538e+02
2125,1.0,1.02736e+01,1.02028e+02
2126,0.0,1.05481e+01,9.97900e+01
2126,0.5,1.05472e+01,9.93002e+01
2126,1.0,1.05464e+01,9.88153e+01
2127,0.0,1.04238e+01,1.00388e+02
2127,0.5,1.04244e+01,9.98773e+01
2127,1.0,1.04250e+01,9.93721e+01
2128,0.0,1.02627e+01,1.03031e+02
2128,0.5,1.02621e+01,1.02520e+02
2128,1.0,1.02615e+01,1.02014e+02
2129,0.0,1.03619e+01,1.01004e+02
2129,0.5,1.03622e+01,1.00493e+02
2129,1.0,1.03625e+01,9.99876e+01
2130,0.0,1.05635e+01,1.00256e+02
2130,0.5,1.05634e+01,9.97574e+01
2130,1.0,1.05634e+01,9.92635e+01
2131,0.0,1.02702e+01,1.00632e+02
2131,0.5,1.02708e+01,1.00118e+02
2131,1.0,1.02714e+01,9.96084e+01
2132,0.0,1.02768e+01,1.01484e+02
2132,0.5,1.02770e+01,1.00972e+02
2132,1.0,1.02773e+01,1.00465e+02
2133,0.0,1.03839e+01,1.00915e+02
2133,0.5,1.03834e+01,1.00412e+02
2133,1.0,1.03830e+01,9.99144e+01
2134,0.0,1.07591e+01,9.75438e+01
2134,0.5,1.07600e+01,9.70515e+01
2134,1.0,1.07609e+01,9.65642e+01
2135,0.0,1.05980e+01,1.00175e+02
2135,0.5,1.05976e+01,9.96846e+01
2135,1.0,1.05971e+01,9.91989e+01
2136,0.0,1.02824e+01,1.02678e+02
2136,0.5,1.02814e+01,1.02170e+02
2136,1.0,1.02803e+01,1.01666e+02
2137,0.0,1.04196e+01,9.91520e+01
2137,0.5,1.04201e+01,9.86486e+01
2137,1.0,1.04207e+01,9.81503e+01
2138,0.0,1.04119e+01,1.01962e+02
2138,0.5,1.04115e+01,1.01459e+02
2138,1.0,1.04110e+01,1.00960e+02
2139,0.0,1.03072e+01,1.01747e+02
2139,0.5,1.03071e+01,1.01237e+02
2139,1.0,1.03070e+01,1.00731e+02
2140,0.0,1.04517e+01,1.00851e+02
2140,0.5,1.04508e+01,1.00358e+02
2140,1.0,1.04499e+01,9.98692e+01
2141,0.0,1.03085e+01,1.01055e+02
2141,0.5,1.03081e+01,1.00551e+02
2141,1.0,1.03076e+01,1.00052e+02
2142,0.0,1.03225e+01,1.02245e+02
2142,0.5,1.03224e+01,1.01731e+02
2142,1.0,1.03222e+01,1.01222e+02
2143,0.0,1.03050e+01,1.00078e+02
2143,0.5,1.03058e+01,9.95690e+01
2143,1.0,1.03066e+01,9.90650e+01
2144,0.0,1.03932e+01,1.00669e+02
2144,0.5,1.03930e+01,1.00164e+02
2144,1.0,1.03928e+01,9.96647e+01
2145,0.0,1.04438e+01,1.01597e+02
2145,0.5,1.04439e+01,1.01086e+02
